Provinsi/Kabupaten/Kota/Indonesia,,
,Indeks Pembangunan Manusia (IPM) menurut Jenis Kelamin ,
,Laki-laki,Perempuan
Bandung Barat,76.3,62.55
Pangandaran,75.49,69.01
Kota Bogor,83.68,77.63
Kota Sukabumi,82.6,77.11
Kota Bandung,87.81,84.21
Kota Cirebon,81.46,78.95
Kota Bekasi,88.59,83.8
Kota Depok,88.09,83.17
Kota Cimahi,84.84,79.07
Kota Tasikmalaya,79.25,74.03
Kota Banjar,80.03,71.65
JAWA TENGAH,78.32,73.41
Cilacap,78.25,69.03
Banyumas,79.34,71.41
Purbalingga,75.11,70.86
Banjarnegara,72.54,69.02
Kebumen,76.62,71.72
Purworejo,78.23,74.77
Wonosobo,74.94,69.86
Magelang,77.16,72
Boyolali,80.51,76.4
Klaten,80.65,77.71
Sukoharjo,81.17,79.61
Wonogiri,77.25,71.5
Karanganyar,79.7,77.43
Sragen,79.91,74.43
Grobogan,78.97,68.71
Blora,77,66.59
Rembang,77.79,69.05
Pati,79.25,73.45
Kudus,81.18,76.82
Jepara,78.71,72.34
Demak,79.61,72.82
Semarang,78.19,75.41
Temanggung,74.61,71.63
Kendal,78.21,73.75
Batang,74.92,69.84
Pekalongan,76.1,70.93
Pemalang,74.18,65.06
Tegal,77.31,68.94
Brebes,75.62,66.52
Kota Magelang,84.53,82.07
Kota Surakarta,85.76,83.63
Kota Salatiga,89.16,85.33
Kota Semarang,87.57,84.4
Kota Pekalongan,80.52,77.02
Kota Tegal,81.58,76.72
D I YOGYAKARTA,85.08,81.32
Kulon Progo,80.25,76.97
Bantul,85.24,82.2
Gunung Kidul,78.83,68.87
Sleman,87.93,85.44
Kota Yogyakarta,90.08,89.41
JAWA TIMUR,79.83,74.47
Pacitan,76.96,67.41
Ponorogo,77.39,73.84
Trenggalek,77.78,72.83
Tulungagung,78.87,75.59
Blitar,78.03,73.62
Kediri,79.73,75.06
Malang,78.51,70.52
Lumajang,75.57,68.24
Jember,76.72,66.59
Banyuwangi,79.71,70.39
Bondowoso,76.02,69.61
Situbondo,77.36,68.24
Probolinggo,76.88,67.02
Pasuruan,76.79,70.69
Sidoarjo,87.02,83.07
Mojokerto,81.35,75.53
Jombang,80.31,73.58
Nganjuk,79.66,75.74
Madiun,78.88,73.85
Magetan,81.03,76.99
Ngawi,77.88,73.49
Bojonegoro,77.3,71.55
Tuban,77.68,69.69
Lamongan,80.82,73.43
Gresik,83.99,77.28
Bangkalan,73.25,64.77
Sampang,72.14,63.04
Pamekasan,76.65,67.48
Sumenep,76.06,63.56
Kota Kediri,85.43,82.32
Kota Blitar,83.45,81.87
Kota Malang,88.11,85.5
Kota Probolinggo,79.77,77.79
Kota Pasuruan,80.4,79.27
Kota Mojokerto,85.61,81.89
Kota Madiun,88.33,84.84
Kota Surabaya,87.96,84.41
Kota Batu,84.09,77.25
BANTEN,80.81,75.62
Pandeglang,76.8,67.76
Lebak,73.85,60.65
Tangerang,80.47,75.08
Serang,77.94,73.07
Kota Tangerang,85.18,82
Kota Cilegon,84.14,75.13
Kota Serang,81.6,76.51
Kota Tangerang Selatan,87.96,84.02
BALI,81.96,78.53
Jembrana,78.32,74.83
Tabanan,80.96,78.05
Badung,86.51,83.24
Gianyar,83.23,79.24
Klungkung,80.07,74.51
Bangli,77.16,72.14
Karangasem,75.86,69.24
Buleleng,79.97,74.57
Kota Denpasar,87.23,85.35
NUSA TENGGARA BARAT,77.9,71.6
Lombok Barat,78.53,71.02
Lombok Tengah,76.91,68.47
Lombok Timur,75.75,70.16
Sumbawa,76.03,72.08
Dompu,78.24,71.71
Bima,75.63,70.02
Sumbawa Barat,80.07,75.18
Lombok Utara,74.64,64.44
Kota Mataram,85.77,80.81
Kota Bima,81.13,78.66
NUSA TENGGARA TIMUR,73.52,69
Sumba Barat,70.86,67.7
Sumba Timur,73.22,70.7
Kupang,73.12,65.17
Timor Tengah Selatan,69.71,66.87
Timor Tengah Utara,69.84,67.21
Belu,70.19,68.89
Alor,72.2,67.32
Lembata,74.17,68.36
Flores Timur,74.62,69.35
Sikka,75.04,68.13
Ende,74.48,71.88
Ngada,74.53,72.53
Manggarai,74.6,66.86
Rote Ndao,72.19,62.25
Manggarai Barat,74.12,66.06
Sumba Tengah,68.87,63.09
Sumba Barat Daya,65.64,64.52
Nagekeo,71.2,70.11
Manggarai Timur,70.51,64.82
Sabu Raijua,66,61.52
Malaka,69.48,63.71
Kota Kupang,85.83,83.64
KALIMANTAN BARAT,76.3,67.87
Sambas,76.22,68.42
Bengkayang,74.96,63.48
Landak,74.17,66.64
Mempawah,74.89,67.3
Sanggau,74.91,62.84
Ketapang,75.3,67.79
Sintang,74.7,66.5
Kapuas Hulu,74.02,64.57
Sekadau,73.54,62.36
Melawi,74.84,61.69
Kayong Utara,72.05,62.78
Kubu Raya,76.81,66.71
Kota Pontianak,86.08,82.17
Kota Singkawang,78.88,74.2
KALIMANTAN TENGAH,78.7,71.18
Kotawaringin Barat,79.79,74.38
Kotawaringin Timur,79.42,71.11
Kapuas,75.84,72.68
Barito Selatan,79.12,73.41
Barito Utara,78.21,69.25
