Provinsi,SD/sederajat (2003),SD/sederajat (2004),SD/sederajat (2005),SD/sederajat (2006),SD/sederajat (2007),SD/sederajat (2008),SD/sederajat (2009),SD/sederajat (2010),SD/sederajat (2011),SD/sederajat (2012),SD/sederajat (2013),SD/sederajat (2014),SD/sederajat (2015),SD/sederajat (2016),SD/sederajat (2017),SD/sederajat (2018),SD/sederajat (2019),SD/sederajat (2020),SD/sederajat (2021),SD/sederajat (2022),SD/sederajat (2023),SD/sederajat (2024),SD/sederajat (2025),SMP/sederajat (2003),SMP/sederajat (2004),SMP/sederajat (2005),SMP/sederajat (2006),SMP/sederajat (2007),SMP/sederajat (2008),SMP/sederajat (2009),SMP/sederajat (2010),SMP/sederajat (2011),SMP/sederajat (2012),SMP/sederajat (2013),SMP/sederajat (2014),SMP/sederajat (2015),SMP/sederajat (2016),SMP/sederajat (2017),SMP/sederajat (2018),SMP/sederajat (2019),SMP/sederajat (2020),SMP/sederajat (2021),SMP/sederajat (2022),SMP/sederajat (2023),SMP/sederajat (2024),SMP/sederajat (2025),SM/sederajat (2003),SM/sederajat (2004),SM/sederajat (2005),SM/sederajat (2006),SM/sederajat (2007),SM/sederajat (2008),SM/sederajat (2009),SM/sederajat (2010),SM/sederajat (2011),SM/sederajat (2012),SM/sederajat (2013),SM/sederajat (2014),SM/sederajat (2015),SM/sederajat (2016),SM/sederajat (2017),SM/sederajat (2018),SM/sederajat (2019),SM/sederajat (2020),SM/sederajat (2021),SM/sederajat (2022),SM/sederajat (2023),SM/sederajat (2024),SM/sederajat (2025)
Jawa Timur,93.48,93.71,94.91,94.2,94.5,94.57,95.27,95.63,91.9,92.93,96.1,96.98,97.38,97.49,97.77,97.88,98.01,97.99,97.9,98.09,98.04,98.81,98.22,64.47,67.1,68.85,70.28,69.21,69.55,69.9,70.17,71.78,74.42,77.36,80.94,81.16,81.35,81.52,81.98,82.84,83.53,83.8,83.8,83.91,84.52,84.49,40.83,41.94,44.86,46.35,47.97,47.93,48.26,48.6,49.29,52.36,53.3,60.0,60.31,60.76,61.49,61.51,61.77,62.24,62.63,62.1,62.59,64.77,70.64
Kalimantan Barat,88.89,93.11,92.49,93.82,93.48,93.96,93.96,94.76,92.3,92.93,94.39,95.75,96.09,96.22,96.59,97.09,97.09,97.36,97.42,97.52,97.7,98.6,95.65,50.88,53.28,53.31,60.92,54.77,55.55,55.45,56.06,59.05,59.72,59.53,64.23,64.55,64.69,65.19,65.91,66.67,67.42,68.11,68.32,70.85,72.9,72.48,29.11,31.51,32.25,34.77,36.16,36.65,36.4,36.83,36.86,37.44,44.79,50.06,50.32,50.43,50.96,51.16,51.21,51.7,51.77,51.87,54.76,57.18,57.6
Kalimantan Selatan,92.46,93.19,95.24,93.28,94.0,94.17,94.49,95.0,92.24,93.16,96.74,97.44,97.75,98.05,98.45,98.8,98.81,98.76,98.94,99.12,99.14,98.68,97.79,56.33,59.27,56.89,62.12,59.65,60.56,60.56,60.9,66.35,66.94,69.57,72.4,72.51,72.7,73.37,73.84,74.84,75.51,75.88,76.28,77.44,78.14,78.54,30.53,35.57,33.54,37.23,35.73,35.78,35.71,36.24,43.36,49.39,50.05,55.04,55.58,55.91,57.15,57.78,57.82,58.25,58.37,59.61,59.83,60.26,59.77
Kalimantan Tengah,94.75,95.1,95.14,95.97,95.48,95.71,96.14,96.63,92.15,96.03,97.41,98.13,98.54,98.67,98.94,99.08,99.14,99.11,99.01,99.11,99.05,98.35,97.55,58.64,65.15,71.49,67.69,60.12,60.46,60.59,61.3,66.62,65.11,68.15,75.4,75.76,75.92,76.14,76.7,77.71,78.45,78.8,78.75,79.07,80.49,78.91,37.23,38.82,39.49,42.66,39.28,39.13,39.27,39.62,44.99,43.55,45.43,51.75,52.36,52.5,53.86,53.67,53.82,54.08,54.25,55.69,55.63,58.05,63.31
Kalimantan Timur,91.33,92.87,92.62,92.86,93.34,93.59,93.74,94.14,92.29,94.06,95.76,96.81,97.0,97.13,97.43,98.4,98.41,98.44,98.36,98.45,98.53,98.59,97.68,67.98,70.2,69.8,64.0,71.24,71.43,72.06,72.56,72.5,74.12,75.79,78.96,79.06,79.2,79.58,79.68,80.42,81.28,81.3,82.65,83.36,83.7,82.01,49.83,52.42,49.08,50.41,52.88,53.19,53.1,53.66,55.52,60.34,62.91,67.41,67.78,67.92,68.23,68.43,68.55,69.0,69.29,69.1,69.89,72.37,73.96
Kalimantan Utara,90.37,90.67,90.98,91.28,91.58,91.89,92.19,92.5,92.8,93.1,93.41,93.71,91.83,92.18,92.46,92.72,93.15,93.46,93.38,93.69,94.73,95.18,97.05,61.04,61.97,62.9,63.83,64.76,65.69,66.62,67.55,68.47,69.4,70.33,71.26,77.25,77.46,77.66,78.2,78.42,79.09,79.21,79.38,80.53,81.61,81.49,46.16,47.39,48.61,49.84,51.06,52.29,53.52,54.74,55.97,57.19,58.42,59.65,62.34,62.8,63.15,64.05,64.39,64.75,65.37,65.65,66.7,67.9,73.13
Kepulauan Bangka Belitung,91.69,90.02,92.0,91.51,91.59,91.77,92.52,92.86,90.92,94.12,95.72,96.49,96.66,96.75,97.42,97.71,97.73,97.73,97.89,98.01,98.11,98.29,97.0,50.61,56.38,61.61,55.3,52.58,53.11,53.1,53.58,60.85,63.28,63.83,71.83,72.42,72.75,73.06,73.96,74.13,74.59,74.6,74.68,77.0,77.59,74.06,33.8,38.15,39.57,34.84,37.53,37.72,38.13,38.69,41.92,42.93,50.8,56.93,57.02,57.22,57.69,57.86,58.41,58.82,58.79,59.65,60.72,61.71,65.94
Kepulauan Riau,91.52,91.82,91.65,93.66,93.5,93.79,93.92,94.56,92.24,94.5,97.64,98.22,98.68,98.83,98.93,99.12,99.13,99.16,99.26,99.2,99.29,98.71,98.2,63.1,64.03,66.48,72.01,71.69,72.18,72.53,72.92,74.29,78.67,83.31,83.36,83.77,84.06,84.28,84.59,85.54,86.47,86.6,86.76,86.78,87.1,83.55,49.57,50.8,51.06,52.13,52.63,53.4,53.42,54.74,56.85,63.53,67.62,70.52,71.23,71.58,71.98,72.9,72.97,73.45,73.36,73.54,74.11,77.54,76.54
Lampung,92.06,92.73,93.54,93.94,94.04,94.28,94.79,95.2,91.63,93.5,97.41,97.98,98.32,98.46,99.02,99.21,99.24,99.16,99.1,99.29,99.22,98.33,97.64,63.24,63.65,64.91,66.65,68.47,68.94,69.17,69.61,67.06,72.08,74.96,77.98,78.2,78.34,79.24,80.23,80.4,81.17,82.03,82.07,80.64,81.4,78.47,35.81,35.66,39.64,39.87,40.72,41.05,41.43,41.97,46.05,46.14,53.48,57.64,58.39,58.85,58.97,59.18,59.41,59.58,60.31,61.96,62.84,64.54,67.22
Maluku,91.03,90.92,91.49,92.24,93.45,93.87,94.38,95.0,88.38,90.05,92.25,93.74,94.34,94.5,95.5,95.8,96.21,96.85,96.92,96.9,97.27,97.27,95.29,62.59,68.06,70.43,76.86,70.08,70.58,71.48,71.88,63.19,66.03,67.06,73.1,73.29,73.4,73.99,74.08,74.68,75.15,75.53,78.37,78.58,79.72,77.02,43.53,56.39,54.37,55.66,59.38,59.38,59.58,59.8,52.78,50.2,55.59,62.6,63.07,63.49,63.65,63.68,64.23,64.81,64.71,64.57,66.16,69.61,66.29
