Tahun,Provinsi,SD/sederajat,SMP/sederajat,SM/sederajat
2017,SULAWESI TENGGARA,96.62,76.49,62.71
2017,SULAWESI UTARA,94.46,73.87,62.81
2017,SUMATERA BARAT,98.64,76.47,67.3
2017,SUMATERA SELATAN,97.16,76.89,59.06
2017,SUMATERA UTARA,97.22,79.12,67.05
2018,ACEH,99.1,86.38,70.26
2018,BALI,96.19,86,73
2018,BANTEN,97.97,80.91,58.72
2018,BENGKULU,98.63,78.03,65.45
2018,DI YOGYAKARTA,99.5,83.61,70.22
2018,DKI JAKARTA,98.03,80.81,60.01
2018,GORONTALO,98.39,69.33,57.38
2018,JAMBI,99.04,79.38,60.92
2018,JAWA BARAT,98.25,81.01,57.33
2018,JAWA TENGAH,97.75,79.31,59.31
2018,JAWA TIMUR,97.88,81.98,61.51
2018,KALIMANTAN BARAT,97.09,65.91,51.16
2018,KALIMANTAN SELATAN,98.8,73.84,57.78
2018,KALIMANTAN TENGAH,99.08,76.7,53.67
2018,KALIMANTAN TIMUR,98.4,79.68,68.43
2018,KALIMANTAN UTARA,92.72,78.2,64.05
2018,KEP. BANGKA BELITUNG,97.71,73.96,57.86
2018,KEP. RIAU,99.12,84.59,72.9
2018,LAMPUNG,99.21,80.23,59.18
2018,MALUKU,95.8,74.08,63.68
2018,MALUKU UTARA,97.09,76.31,63.88
2018,NUSA TENGGARA BARAT,98.86,83.88,65.77
2018,NUSA TENGGARA TIMUR,96.12,68.14,53.67
2018,PAPUA,79.14,57.09,44.31
2018,PAPUA BARAT,93.66,69.11,63.11
2018,PAPUA BARAT DAYA,-,-,-
2018,PAPUA PEGUNUNGAN,-,-,-
2018,PAPUA SELATAN,-,-,-
2018,PAPUA TENGAH,-,-,-
2018,RIAU,97.26,79.12,63.47
2018,SULAWESI BARAT,95.83,69.43,57.58
2018,SULAWESI SELATAN,98.03,75.13,60.03
2018,SULAWESI TENGAH,92.82,73.2,64.25
2018,SULAWESI TENGGARA,97.51,76.64,62.87
2018,SULAWESI UTARA,94.93,74.18,62.83
2018,SUMATERA BARAT,98.66,77.08,67.48
2018,SUMATERA SELATAN,97.85,76.91,59.87
2018,SUMATERA UTARA,97.63,79.25,67.27
2019,ACEH,99.12,86.48,70.35
2019,BALI,96.81,86.75,73.01
2019,BANTEN,97.98,81.93,58.8
2019,BENGKULU,98.66,78.81,65.51
2019,DI YOGYAKARTA,99.53,84.04,70.49
2019,DKI JAKARTA,98.12,81.68,60.24
2019,GORONTALO,98.41,70.28,57.52
2019,JAMBI,99.07,79.48,60.92
2019,JAWA BARAT,98.27,81.26,57.53
2019,JAWA TENGAH,97.77,79.84,59.35
2019,JAWA TIMUR,98.01,82.84,61.77
2019,KALIMANTAN BARAT,97.09,66.67,51.21
2019,KALIMANTAN SELATAN,98.81,74.84,57.82
2019,KALIMANTAN TENGAH,99.14,77.71,53.82
2019,KALIMANTAN TIMUR,98.41,80.42,68.55
2019,KALIMANTAN UTARA,93.15,78.42,64.39
2019,KEP. BANGKA BELITUNG,97.73,74.13,58.41
2019,KEP. RIAU,99.13,85.54,72.97
2019,LAMPUNG,99.24,80.4,59.41
2019,MALUKU,96.21,74.68,64.23
2019,MALUKU UTARA,97.09,76.2,63.95
2019,NUSA TENGGARA BARAT,98.87,83.92,66.04
2019,NUSA TENGGARA TIMUR,96.16,69.19,53.68
2019,PAPUA,79.19,57.19,44.32
2019,PAPUA BARAT,93.76,69.92,63.15
2019,PAPUA BARAT DAYA,-,-,-
2019,PAPUA PEGUNUNGAN,-,-,-
2019,PAPUA SELATAN,-,-,-
2019,PAPUA TENGAH,-,-,-
2019,RIAU,97.32,79.94,63.55
2019,SULAWESI BARAT,95.86,69.36,57.64
2019,SULAWESI SELATAN,98.06,75.82,60.14
2019,SULAWESI TENGAH,93.17,73.82,64.66
2019,SULAWESI TENGGARA,97.53,76.95,62.92
2019,SULAWESI UTARA,94.97,74.3,62.98
2019,SUMATERA BARAT,98.67,78.1,68.53
2019,SUMATERA SELATAN,97.91,77.58,59.92
2019,SUMATERA UTARA,97.67,80.26,67.53
2020,ACEH,99.03,86.87,70.7
2020,BALI,96.84,87.26,73.29
2020,BANTEN,97.95,82.73,59.06
2020,BENGKULU,98.65,79.77,65.82
2020,DI YOGYAKARTA,99.59,83.98,70.98
2020,DKI JAKARTA,98.05,82.47,60.42
2020,GORONTALO,98.5,70.68,57.86
2020,JAMBI,99.11,79.93,61.38
2020,JAWA BARAT,98.37,82.06,57.9
2020,JAWA TENGAH,97.9,80.53,59.74
2020,JAWA TIMUR,97.99,83.53,62.24
2020,KALIMANTAN BARAT,97.36,67.42,51.7
2020,KALIMANTAN SELATAN,98.76,75.51,58.25
2020,KALIMANTAN TENGAH,99.11,78.45,54.08
2020,KALIMANTAN TIMUR,98.44,81.28,69
2020,KALIMANTAN UTARA,93.46,79.09,64.75
2020,KEP. BANGKA BELITUNG,97.73,74.59,58.82
2020,KEP. RIAU,99.16,86.47,73.45
2020,LAMPUNG,99.16,81.17,59.58
2020,MALUKU,96.85,75.15,64.81
2020,MALUKU UTARA,97.21,76.9,64.25
2020,NUSA TENGGARA BARAT,98.78,84.98,66.81
2020,NUSA TENGGARA TIMUR,96.09,69.82,54.09
2020,PAPUA,79.34,57.95,44.73
2020,PAPUA BARAT,93.88,70.51,63.62
2020,PAPUA BARAT DAYA,-,-,-
2020,PAPUA PEGUNUNGAN,-,-,-
2020,PAPUA SELATAN,-,-,-
2020,PAPUA TENGAH,-,-,-
2020,RIAU,97.73,80.48,64.01
2020,SULAWESI BARAT,95.8,69.98,58.05
2020,SULAWESI SELATAN,97.98,76.17,60.32
2020,SULAWESI TENGAH,93.24,74.42,65.02
2020,SULAWESI TENGGARA,97.7,77.64,63.41
2020,SULAWESI UTARA,95.13,74.82,63.43
2020,SUMATERA BARAT,98.8,78.41,68.9
2020,SUMATERA SELATAN,97.91,77.97,60.45
2020,SUMATERA UTARA,97.73,80.56,68
2021,ACEH,98.95,86.95,70.8
2021,BALI,97.2,87.11,74.82
2021,BANTEN,98.15,84.28,59.69
2021,BENGKULU,98.61,80.25,66.08
2021,DI YOGYAKARTA,99.44,83.62,71.42
2021,DKI JAKARTA,98.22,83.01,60.53
2021,GORONTALO,98.65,71.15,58.21
2021,JAMBI,99.41,79.88,61.56
2021,JAWA BARAT,98.37,82.88,58.58
2021,JAWA TENGAH,98.22,80.99,60.46
2021,JAWA TIMUR,97.9,83.8,62.63
2021,KALIMANTAN BARAT,97.42,68.11,51.77
2021,KALIMANTAN SELATAN,98.94,75.88,58.37
2021,KALIMANTAN TENGAH,99.01,78.8,54.25
2021,KALIMANTAN TIMUR,98.36,81.3,69.29
2021,KALIMANTAN UTARA,93.38,79.21,65.37
2021,KEP. BANGKA BELITUNG,97.89,74.6,58.79
2021,KEP. RIAU,99.26,86.6,73.36
2021,LAMPUNG,99.1,82.03,60.31
2021,MALUKU,96.92,75.53,64.71
2021,MALUKU UTARA,97.2,77.03,64.11
2021,NUSA TENGGARA BARAT,98.81,85.28,67.09
2021,NUSA TENGGARA TIMUR,96.04,69.99,54.29
2021,PAPUA,80.38,57.93,44.41
2021,PAPUA BARAT,94.09,70.52,63.51
2021,PAPUA BARAT DAYA,-,-,-
2021,PAPUA PEGUNUNGAN,-,-,-
2021,PAPUA SELATAN,-,-,-
2021,PAPUA TENGAH,-,-,-
2021,RIAU,97.85,80.52,64
2021,SULAWESI BARAT,95.68,70.03,59.77
2021,SULAWESI SELATAN,98.26,77.02,60.35
2021,SULAWESI TENGAH,93.33,74.99,65.44
2021,SULAWESI TENGGARA,98.15,77.86,63.7
2021,SULAWESI UTARA,95.39,74.94,63.33
2021,SUMATERA BARAT,98.82,78.75,68.99
2021,SUMATERA SELATAN,98,78.31,60.53
2021,SUMATERA UTARA,97.69,81.13,67.99
2022,ACEH,99.07,88.21,71.16
2022,BALI,97.46,86.88,74.73
2022,BANTEN,97.93,84.67,59.54
2022,BENGKULU,98.6,80.25,66.61
2022,DI YOGYAKARTA,99.43,85.28,74.5
2022,DKI JAKARTA,98.37,84.22,60.88
2022,GORONTALO,98.74,71.66,58.47
2022,JAMBI,99.33,79.93,60.73
2022,JAWA BARAT,98.29,82.8,58.6
2022,JAWA TENGAH,98.39,81.02,61.17
2022,JAWA TIMUR,98.09,83.8,62.1
2022,KALIMANTAN BARAT,97.52,68.32,51.87
2022,KALIMANTAN SELATAN,99.12,76.28,59.61
2022,KALIMANTAN TENGAH,99.11,78.75,55.69
2022,KALIMANTAN TIMUR,98.45,82.65,69.1
2022,KALIMANTAN UTARA,93.69,79.38,65.65
2022,KEP. BANGKA BELITUNG,98.01,74.68,59.65
2022,KEP. RIAU,99.2,86.76,73.54
2022,LAMPUNG,99.29,82.07,61.96
2022,MALUKU,96.9,78.37,64.57
2022,MALUKU UTARA,97.27,77.41,65.35
2022,NUSA TENGGARA BARAT,98.83,86.05,67.61
2022,NUSA TENGGARA TIMUR,96.08,70.05,56
2022,PAPUA,81.66,59.14,47.63
2022,PAPUA BARAT,94.31,71.38,63.66
2022,PAPUA BARAT DAYA,-,-,-
2022,PAPUA PEGUNUNGAN,-,-,-
2022,PAPUA SELATAN,-,-,-
2022,PAPUA TENGAH,-,-,-
2022,RIAU,97.8,80.43,63.87
2022,SULAWESI BARAT,95.81,70.34,60.24
2022,SULAWESI SELATAN,98.41,77.42,60.44
2022,SULAWESI TENGAH,93.25,75.63,65.72
2022,SULAWESI TENGGARA,98.27,77.77,64.11
2022,SULAWESI UTARA,95.44,76.11,63.3
2022,SUMATERA BARAT,98.8,78.86,68.38
2022,SUMATERA SELATAN,98.08,78.68,61
2022,SUMATERA UTARA,98,81.84,68.27
2023,ACEH,98.97,84.85,71.7
2023,BALI,97.77,84.78,75.6
2023,BANTEN,97.97,85.43,60.42
2023,BENGKULU,98.61,81.08,67.09
2023,DI YOGYAKARTA,99.36,85.62,76.37
2023,DKI JAKARTA,98.44,84.95,60.81
2023,GORONTALO,98.69,73.55,60.18
2023,JAMBI,99.33,80.23,60.6
2023,JAWA BARAT,98.2,83.61,59.01
2023,JAWA TENGAH,98.46,81.56,61.46
2023,JAWA TIMUR,98.04,83.91,62.59
2023,KALIMANTAN BARAT,97.7,70.85,54.76
2023,KALIMANTAN SELATAN,99.14,77.44,59.83
2023,KALIMANTAN TENGAH,99.05,79.07,55.63
2023,KALIMANTAN TIMUR,98.53,83.36,69.89
2023,KALIMANTAN UTARA,94.73,80.53,66.7
2023,KEP. BANGKA BELITUNG,98.11,77,60.72
2023,KEP. RIAU,99.29,86.78,74.11
2023,LAMPUNG,99.22,80.64,62.84
2023,MALUKU,97.27,78.58,66.16
2023,MALUKU UTARA,97.36,78.53,65.75
2023,NUSA TENGGARA BARAT,98.76,84.03,68.04
2023,NUSA TENGGARA TIMUR,95.98,73.47,58.15
2023,PAPUA,80.67,60.23,48.32
2023,PAPUA BARAT,94.52,74.7,65.92
2023,PAPUA BARAT DAYA,-,-,-
2023,PAPUA PEGUNUNGAN,-,-,-
2023,PAPUA SELATAN,-,-,-
2023,PAPUA TENGAH,-,-,-
2023,RIAU,98.13,80.76,64.81
2023,SULAWESI BARAT,95.92,72.39,61.17
2023,SULAWESI SELATAN,98.41,77.98,60.57
2023,SULAWESI TENGAH,93.31,76.8,66.18
2023,SULAWESI TENGGARA,98.48,76.54,64
2023,SULAWESI UTARA,95.68,76.56,63.86
2023,SUMATERA BARAT,98.89,80.22,69.18
2023,SUMATERA SELATAN,98.12,79.12,61.24
2023,SUMATERA UTARA,97.95,82.09,68.67
2024,ACEH,97.96,84.22,70.94
2024,BALI,98.7,86.3,74.19
2024,BANTEN,98.09,83.68,63.5
2024,BENGKULU,98.33,82.36,69.14
2024,DI YOGYAKARTA,99.43,90.14,77.86
2024,DKI JAKARTA,98.39,88.67,64.85
2024,GORONTALO,98.2,72.51,61.23
2024,JAMBI,98.17,79.65,62.48
2024,JAWA BARAT,98.53,84.61,60.68
2024,JAWA TENGAH,98.39,81.03,62.56
2024,JAWA TIMUR,98.81,84.52,64.77
2024,KALIMANTAN BARAT,98.6,72.9,57.18
2024,KALIMANTAN SELATAN,98.68,78.14,60.26
2024,KALIMANTAN TENGAH,98.35,80.49,58.05
2024,KALIMANTAN TIMUR,98.59,83.7,72.37
2024,KALIMANTAN UTARA,95.18,81.61,67.9
2024,KEP. BANGKA BELITUNG,98.29,77.59,61.71
2024,KEP. RIAU,98.71,87.1,77.54
2024,LAMPUNG,98.33,81.4,64.54
2024,MALUKU,97.27,79.72,69.61
2024,MALUKU UTARA,96.41,79.34,68.02
2024,NUSA TENGGARA BARAT,98.57,83.55,71.09
2024,NUSA TENGGARA TIMUR,97.01,73.72,60.73
2024,PAPUA,92.52,75.41,61.33
2024,PAPUA BARAT,95.15,72.1,61.18
2024,PAPUA BARAT DAYA,95.39,72.31,68.52
2024,PAPUA PEGUNUNGAN,75.4,58.83,45.6
2024,PAPUA SELATAN,85.86,52.03,44.79
2024,PAPUA TENGAH,69.03,57.49,36.84
2024,RIAU,98.45,81.14,68.04
2024,SULAWESI BARAT,96.82,71.77,62.1
2024,SULAWESI SELATAN,97.81,76.84,62.71
2024,SULAWESI TENGAH,94.84,77.55,65.62
2024,SULAWESI TENGGARA,97.33,77.12,66.66
2024,SULAWESI UTARA,95.87,77.27,65.47
2024,SUMATERA BARAT,98.89,82.94,72.5
2024,SUMATERA SELATAN,97.53,77.58,62.7
2024,SUMATERA UTARA,97.68,82.15,69.72
2025,ACEH,96.32,81.37,70.36
2025,BALI,97.05,84.81,76.06
2025,BANTEN,97.09,81.28,65.28
2025,BENGKULU,96.12,78.83,69.32
2025,DI YOGYAKARTA,98.77,88.67,78.42
2025,DKI JAKARTA,98.47,87.55,69.9
2025,GORONTALO,95.75,72.95,64.63
2025,JAMBI,97.02,78.47,63.05
2025,JAWA BARAT,98.02,83.84,67.33
2025,JAWA TENGAH,97.21,80.29,67.81
2025,JAWA TIMUR,98.22,84.49,70.64
2025,KALIMANTAN BARAT,95.65,72.48,57.6
2025,KALIMANTAN SELATAN,97.79,78.54,59.77
2025,KALIMANTAN TENGAH,97.55,78.91,63.31
2025,KALIMANTAN TIMUR,97.68,82.01,73.96
2025,KALIMANTAN UTARA,97.05,81.49,73.13
2025,KEP. BANGKA BELITUNG,97,74.06,65.94
2025,KEP. RIAU,98.2,83.55,76.54
2025,LAMPUNG,97.64,78.47,67.22
2025,MALUKU,95.29,77.02,66.29
2025,MALUKU UTARA,95.9,78.65,62.32
2025,NUSA TENGGARA BARAT,97.62,82.54,70.43
2025,NUSA TENGGARA TIMUR,95.45,77.28,62.88
2025,PAPUA,91.81,77.95,56.13
2025,PAPUA BARAT,94,72.24,57.63
2025,PAPUA BARAT DAYA,94.21,75.13,58.71
2025,PAPUA PEGUNUNGAN,74.85,56.16,39.87
2025,PAPUA SELATAN,87.64,57.72,45.48
2025,PAPUA TENGAH,72.55,54.33,35.59
2025,RIAU,97.54,81.4,65.22
2025,SULAWESI BARAT,95.99,75.49,60.89
2025,SULAWESI SELATAN,96.46,78.45,68.1
2025,SULAWESI TENGAH,94.67,78.28,68.68
2025,SULAWESI TENGGARA,95.89,74.78,63.31
2025,SULAWESI UTARA,96,75.05,61.26
2025,SUMATERA BARAT,97.06,82.7,71.57
2025,SUMATERA SELATAN,95.98,74.27,63.08
2025,SUMATERA UTARA,95.99,77.41,70.4
