Provinsi/Kabupaten/Kota/Indonesia,,,,,,,,,,
,,,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Indragiri Hulu,10068,10223,10481,10738,10202,10260,10472,10957,11333,11495
Indragiri Hilir,9911,10041,10254,10382,9954,9945,10234,10659,11050,11248
Pelalawan,11641,11725,11894,12149,11606,11672,12163,12399,12575,13052
Siak,11826,11898,12119,12347,11799,11807,12230,12637,13080,13546
Kampar,10765,10912,11128,11232,10796,10858,11394,11662,12034,12200
Rokan Hulu,9065,9303,9608,9979,9374,9406,9841,10055,10586,10769
Bengkalis,11325,11530,11640,11753,11331,11415,11857,12153,12321,12521
Rokan Hilir,9181,9250,9316,9672,9362,9417,9906,10097,10447,10895
Kepulauan Meranti,7194,7673,7978,8358,7790,7780,8246,8613,8988,9380
Kota Pekanbaru,14225,14497,14778,15206,14433,14360,14804,14983,15212,15610
Kota Dumai,11531,11699,12063,12453,11751,11818,12249,12457,12847,13369
JAMBI,9795,9880,10357,10592,10392,10588,10871,11160,11621,12018
Kerinci,9374,9501,9951,10198,9995,10184,10570,10965,11441,11650
Merangin,9644,9753,10133,10312,10279,10380,10714,10969,11425,11847
Sarolangun,11349,11478,11609,11679,11616,11792,12069,12392,12679,13030
Batang Hari,9512,9573,9833,10038,9825,10032,10173,10528,10872,11219
Muaro Jambi,7990,8145,8456,8697,8556,8825,9118,9525,10007,10579
Tanjung Jabung Timur,8136,8403,8904,9192,9026,9163,9503,9898,10328,10626
Tanjung Jabung Barat,8872,9004,9395,9539,9480,9699,9968,10229,10696,11266
Tebo,9745,9832,10273,10555,10389,10546,10725,10894,11415,11791
Bungo,10937,11016,11352,11662,11471,11670,11956,12224,12820,13182
Kota Jambi,11436,11648,11912,12205,12056,12240,12597,12783,13388,13706
Kota Sungai Penuh,9604,9707,10186,10510,10248,10454,10745,11027,11499,11994
SUMATERA SELATAN,9935,10220,10652,10937,10652,10662,11109,11472,12015,12416
Ogan Komering Ulu,8993,9340,9940,10261,10020,10040,10499,10859,11339,11700
Ogan Komering Ilir,10039,10306,10706,11032,10725,10755,11251,11736,12305,12547
Muara Enim,9766,10575,11012,11285,10951,10995,11304,11683,12291,12646
Lahat,9037,9157,9600,10071,9730,9735,10296,10811,11255,11620
Musi Rawas,9140,9218,9562,9795,9520,9550,10107,10429,11058,11407
Musi Banyuasin,9452,9705,10212,10364,10088,10140,10453,10862,11424,11790
Banyu Asin,8899,9328,9760,10135,9850,9860,10299,10731,11277,11638
Ogan Komering Ulu Selatan,7902,7997,8445,8830,8580,8585,8895,9176,9680,10010
Ogan Komering Ulu Timur,11024,11169,11612,11753,11505,11531,11759,12046,12623,13154
Ogan Ilir,9846,9972,10412,10777,10424,10454,11069,11456,12093,12445
Empat Lawang,8944,9010,9450,9594,9350,9400,9838,10375,10889,11315
Penukal Abab Lematang Ilir,7491,7834,8136,8400,8196,8210,8680,9139,9604,9965
Musi Rawas Utara,9272,9348,9795,10223,9783,9855,10283,10631,11198,11460
Kota Palembang,13981,14277,14697,15087,14679,14704,15168,15592,16150,16725
Kota Prabumulih,12162,12355,12765,13072,12723,12752,13106,13494,13982,14342
Kota Pagar Alam,7989,8352,8758,9291,8795,8877,9330,9683,10245,10610
Kota Lubuklinggau,12798,12878,13288,13586,13243,13267,13832,14211,14672,15090
BENGKULU,9492,9778,10162,10409,10380,10487,10840,11172,11733,12197
Bengkulu Selatan,9044,9202,9592,9813,9837,9916,10318,10657,11040,11518
Rejang Lebong,9520,9660,10045,10162,10234,10323,10547,10848,11385,11824
Bengkulu Utara,9566,9698,10098,10336,10263,10410,10774,11188,11715,12045
Kaur,7842,7914,8284,8594,8593,8638,9009,9365,9742,10180
