Provinsi/Kabupaten/Kota/Indonesia,,,,,,,,,,
,,,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Katingan,9969,10029,10327,10639,10548,10568,11036,11399,11691,11781
Pulang Pisau,9017,9365,9807,10104,10047,10082,10273,10752,11207,11545
Gunung Mas,10155,10276,10504,10822,10793,10809,10990,11462,11902,12215
Barito Timur,10631,10808,11000,11333,11319,11322,11710,12083,12576,13018
Murung Raya,9742,9872,10164,10471,10419,10449,10697,11053,11503,11776
Kota Palangka Raya,12899,13435,13677,14091,14055,14070,14345,14727,15188,15469
KALIMANTAN SELATAN,11307,11600,12062,12253,12032,12143,12469,12953,13399,13757
Tanah Laut,10862,10925,11209,11318,11207,11310,11703,12198,12595,12986
Kotabaru,10777,11065,11579,11731,11530,11720,12191,12480,12929,13163
Banjar,12311,12366,12571,12681,12603,12707,12871,13301,13683,14101
Barito Kuala,9226,9535,9780,9952,9805,9868,10230,10750,11168,11469
Tapin,11237,11411,11847,12088,11841,11952,12247,12776,13163,13381
Hulu Sungai Selatan,11623,11890,12535,12835,12672,12736,13157,13743,14150,14453
Hulu Sungai Tengah,11527,11635,12138,12257,12153,12280,12448,12782,13176,13608
Hulu Sungai Utara,8668,9100,9567,9772,9527,9644,10132,10491,10981,11168
Tabalong,10620,10977,11227,11476,11283,11470,11914,12507,13097,13541
Tanah Bumbu,11006,11244,11710,12025,11718,11844,12217,12516,13026,13380
Balangan,10953,11186,11442,11557,11452,11500,11659,11888,12325,12675
Kota Banjarmasin,13417,13899,14256,14547,14306,14432,14770,15280,15714,16013
Kota Banjar Baru,12879,13279,13590,13949,13675,13789,14136,14524,14927,15361
KALIMANTAN TIMUR,11355,11612,11917,12359,11728,12116,12641,13202,13793,14254
Paser,10171,10280,10605,10767,10344,10673,11181,11651,12181,12709
Kutai Barat,9492,9532,9849,10338,9712,10062,10740,11291,11903,12251
Kutai Kartanegara,10593,10692,10959,11152,10720,11048,11677,12323,12957,13365
Kutai Timur,9960,10273,10614,11196,10485,10868,11322,11961,12490,12755
Berau,11675,11843,12207,12726,12018,12435,13095,13620,14101,14582
Penajam Paser Utara,11019,11126,11492,11750,11231,11651,11890,12517,13100,13636
Mahakam Ulu,7281,7364,7653,8008,7524,7802,8215,8696,9126,9381
Kota Balikpapan,13883,14254,14557,14791,14549,14862,15455,16195,16854,17482
Kota Samarinda,14010,14175,14466,14613,14135,14582,15162,15610,16160,16345
Kota Bontang,16157,16271,16698,16843,16278,16765,17327,17659,18394,18861
KALIMANTAN UTARA,8434,8643,8943,9343,8756,9075,9350,9734,10197,10568
Malinau,9529,9586,9853,10121,9611,9928,10304,10708,11190,11436
Bulungan,8933,9094,9310,9648,9121,9423,9641,10205,10581,10997
Tana Tidung,6919,7207,7511,7981,7381,7676,8012,8386,8707,9037
Nunukan,6333,6680,6956,7290,6804,7064,7446,7787,8265,8598
Kota Tarakan,10715,10841,11153,11509,10894,11261,11596,11992,12451,12961
SULAWESI UTARA,10148,10422,10731,11115,10791,10882,11179,11497,11998,12450
Bolaang Mongondow,9657,9761,10054,10470,10128,10220,10614,10915,11507,11756
Minahasa,11827,12026,12319,12720,12395,12481,12690,13027,13681,14035
Kepulauan Sangihe,10959,11111,11397,11663,11427,11524,11631,11946,12409,12839
Kepulauan Talaud,8184,8268,8525,8638,8505,8558,8869,9146,9512,9953
Minahasa Selatan,11133,11162,11410,11760,11481,11554,11717,12090,12529,12986
Minahasa Utara,10789,11075,11318,11712,11405,11481,11593,11958,12412,12846
Bolaang Mongondow Utara,8593,8739,8992,9366,9062,9143,9285,9652,10170,10434
Siau Tagulandang Biaro,7742,7812,8097,8252,8080,8145,8401,8742,9062,9335
Minahasa Tenggara,10002,10105,10354,10665,10408,10479,10753,11034,11511,11981
Bolaang Mongondow Selatan,8371,8452,8743,9229,8837,8939,9238,9593,10114,10519
Bolaang Mongondow Timur,8361,8568,8856,9483,8998,9115,9390,9741,10191,10600
Kota Manado,13253,13477,13814,14232,13886,13991,14399,14822,15301,15755
Kota Bitung,11718,11895,12168,12383,12193,12271,12665,12954,13539,13804
Kota Tomohon,10936,11323,11647,12152,11745,11851,12268,12488,13045,13503
Kota Kotamobagu,10084,10366,10663,11098,10744,10848,11151,11452,12074,12337
SULAWESI TENGAH,9034,9311,9488,9604,9335,9378,9696,10149,10536,10934
Banggai Kepulauan,7286,7440,7545,7619,7429,7453,7712,8066,8375,8723
Banggai,9144,9516,9712,9842,9554,9603,9963,10400,10772,11000
Morowali,10575,11012,11159,11277,10993,11028,11291,11708,12281,12527
Poso,8345,8781,8936,9084,8808,8850,9218,9622,9948,10314
Donggala,7802,7924,8106,8189,7960,8002,8303,8766,9117,9337
Toli-Toli,7493,7916,8017,8156,7917,7947,8191,8665,8918,9295
Buol,7740,7934,8079,8151,7942,7974,8176,8678,9051,9410
Parigi Moutong,9351,9488,9808,9878,9641,9675,10063,10471,10846,11194
Tojo Una-Una,7361,7465,7608,7765,7606,7621,8096,8550,8863,9200
Sigi,7714,8113,8236,8375,8126,8171,8498,8891,9254,9659
Banggai Laut,7529,7693,7810,7888,7663,7707,8037,8470,8776,9184
Morowali Utara,8594,8842,8985,9109,8853,8890,9242,9623,10032,10258
Kota Palu,14663,14871,15074,15205,14839,14894,15162,15501,15941,16269
SULAWESI SELATAN,10281,10489,10814,11118,11079,11184,11430,11841,12275,12773
Kepulauan Selayar,8123,8436,8666,9028,8970,9060,9446,9830,10235,10589
Bulukumba,10040,10217,10331,10480,10513,10632,10941,11392,11807,12456
Bantaeng,10596,10751,11153,11592,11632,11829,12133,12304,12719,13310
Jeneponto,8559,8747,8957,9078,9114,9215,9425,9781,10158,10691
Takalar,9759,9845,10134,10474,10454,10543,10746,11239,11679,12014
Gowa,8717,9009,9179,9369,9394,9504,9812,10233,10700,11103
Sinjai,8706,8816,9098,9465,9439,9505,9726,10180,10665,11111
Maros,9758,10121,10558,10981,10963,11032,11403,11795,12209,12709
Pangkajene dan Kepulauan,10670,10837,11197,11392,11405,11519,11817,12241,12643,13209
Barru,10155,10285,10622,10911,10923,11017,11275,11712,12058,12559
Bone,8275,8470,8686,8954,8963,9030,9277,9682,10084,10538
Soppeng,8965,9035,9291,9444,9483,9558,9756,10098,10547,10929
Wajo,11681,11770,12057,12399,12386,12505,12729,13192,13608,13957
Sidenreng Rappang,11368,11523,11834,12039,12073,12201,12379,12739,13209,13604
Pinrang,10899,11279,11508,11828,11844,11956,12102,12559,13010,13419
Enrekang,10188,10359,10683,10800,10844,10973,11183,11636,12138,12571
Luwu,9301,9381,9705,10085,10014,10116,10308,10691,11121,11634
Tana Toraja,6509,6801,7087,7253,7217,7434,7584,8017,8319,8595
Luwu Utara,10786,11101,11429,11583,11562,11736,12105,12513,12866,13390
Luwu Timur,11960,12030,12346,12802,12814,12886,13058,13451,13867,14381
Toraja Utara,7228,7457,7783,8083,8097,8134,8494,8871,9292,9753
Kota Makasar,16013,16367,16597,16989,16873,17097,17406,17889,18386,18878
Kota Parepare,12966,13078,13303,13648,13663,13786,14027,14495,14928,15408
Kota Palopo,12156,12319,12662,12986,12995,13117,13404,13892,14369,14837
SULAWESI TENGGARA,8871,9094,9262,9436,9331,9381,9708,10117,10606,10992
Buton,6950,7117,7209,7366,7307,7324,7594,7995,8401,8607
Muna,7928,8000,8098,8253,8203,8218,8328,8703,9107,9526
Konawe,9696,9857,10004,10200,10126,10151,10552,10963,11415,11763
Kolaka,12072,12243,12384,12525,12515,12525,12639,13055,13534,13941
Konawe Selatan,8660,8798,8914,9115,9037,9059,9347,9753,10250,10574
Bombana,7607,7908,8190,8344,8234,8310,8680,9132,9692,9957
Wakatobi,8651,8800,9136,9388,9204,9280,9758,10240,10739,11199
Kolaka Utara,9846,9941,10133,10258,10218,10244,10721,11020,11650,11941
Buton Utara,7168,7249,7393,7534,7470,7496,7935,8289,8746,9119
Konawe Utara,8822,8943,9050,9215,9165,9181,9666,10113,10658,11104
Kolaka Timur,7283,7499,7606,7832,7727,7753,8155,8520,9012,9420
Konawe Kepulauan,6227,6458,6601,6832,6700,6738,7192,7564,7996,8286
Muna Barat,7221,7288,7405,7526,7485,7502,7668,8076,8458,8858
Buton Tengah,6860,7012,7160,7264,7221,7244,7670,8003,8434,8825
Buton Selatan,6859,7075,7192,7293,7263,7279,7476,7936,8386,8684
Kota Kendari,13828,13995,14168,14392,14335,14356,14765,15116,15651,16002
Kota Baubau,10110,10223,10374,10523,10483,10503,10835,11207,11755,12260
GORONTALO,9175,9532,9839,10075,10020,10157,10687,11069,11539,11937
Boalemo,7895,8325,8654,8874,8789,8940,9543,9941,10401,10720
Gorontalo,8589,8828,9071,9361,9277,9412,9850,10336,10645,11110
Pohuwato,9381,9715,10076,10316,10255,10409,10913,11018,11618,11872
Bone Bolango,9115,9597,9827,10147,10052,10198,10676,11114,11717,11935
Gorontalo Utara,8270,8480,8780,8982,8921,9064,9636,10037,10476,10678
Kota Gorontalo,11360,11651,11908,12298,12278,12390,13077,13351,13860,14285
SULAWESI BARAT,8450,8736,9051,9235,9168,9153,9358,9718,10208,10516
Majene,9441,9559,9904,10029,10056,10028,10152,10462,10909,11299
Polewali Mandar,7559,7947,8355,8598,8580,8548,8726,9096,9536,9999
Mamasa,7231,7353,7597,7769,7747,7736,7837,8108,8415,8779
Mamuju,8689,9019,9308,9535,9500,9494,9668,10075,10440,10682
Mamuju Utara / Pasangkayu,10264,10577,10915,11094,11111,11072,11330,11649,12190,12644
Mamuju Tengah,7521,7931,8243,8501,8414,8408,8633,8821,9250,9484
MALUKU,8215,8433,8721,8887,8732,8770,8876,9278,9684,9900
Maluku Tenggara Barat / Kepulauan Tanimbar,5901,6032,6275,6396,6297,6335,6473,6722,7091,7342
Maluku Tenggara,7063,7302,7481,7625,7545,7580,7795,8174,8553,8738
Maluku Tengah,9672,9875,10106,10298,10210,10243,10406,10788,11183,11532
Buru,9806,10036,10203,10400,10316,10347,10414,10879,11261,11562
Kepulauan Aru,7080,7334,7518,7678,7586,7623,7733,8133,8488,8650
Seram Bagian Barat,8121,8333,8543,8704,8690,8720,8890,9324,9706,9854
Seram Bagian Timur,8848,9058,9268,9452,9453,9480,9591,10020,10049,10204
Maluku Barat Daya,6298,6508,6721,6888,6890,6918,7010,7223,7600,7776
Buru Selatan,7175,7337,7506,7627,7566,7600,7716,8108,8474,8664
Kota Ambon,13497,13699,13993,14233,14116,14148,14405,14692,15196,15549
Kota Tual,6803,7012,7323,7506,7351,7405,7519,7825,8238,8401
MALUKU UTARA,7545,7792,7980,8308,8032,8140,8398,8834,9320,9613
Halmahera Barat,7076,7266,7418,7660,7352,7467,7636,8046,8426,8705
Halmahera Tengah,7481,7688,7885,8258,7841,7966,8212,8675,9140,9361
Kepulauan Sula,6741,6859,7044,7221,6950,7040,7417,7718,8020,8251
Halmahera Selatan,6894,7026,7156,7298,7068,7142,7479,7883,8210,8515
Halmahera Utara,7110,7302,7519,7713,7414,7519,7774,8152,8607,8815
Halmahera Timur,7560,7841,7969,8127,7876,7973,8230,8650,8999,9227
Pulau Morotai,5888,6167,6294,6655,6290,6378,6767,7141,7523,7775
Pulau Taliabu,6208,6306,6455,6659,6390,6467,6623,6939,7226,7503
Kota Ternate,12643,12989,13166,13632,13091,13290,13586,14042,14731,14945
Kota Tidore Kepulauan,7772,8044,8232,8608,8188,8316,8586,9034,9269,9539
PAPUA BARAT,7175,7493,7816,8125,8086,7929,8101,8404,8805,9115
Fakfak,6935,7057,7357,7608,7599,7446,7678,7851,8159,8401
Kaimana,7538,7752,8071,8304,8325,8151,8453,8749,9242,9481
Teluk Wondama,7434,7694,7927,8198,8219,8034,8177,8490,8887,9192
Teluk Bintuni,9208,9463,9622,9821,9974,9708,9979,10324,10592,10799
Manokwari,11440,11595,11789,11994,12207,11977,12179,12566,13008,13364
Sorong Selatan,5644,5904,6062,6252,6286,6188,6342,6727,-,-
Sorong,6563,6975,7240,7507,7495,7350,7607,7984,-,-
Raja Ampat,7393,7508,7760,7958,8014,7882,8187,8483,-,-
Tambrauw,4561,4626,4859,5001,4998,4903,5084,5302,-,-
Maybrat,4692,4905,5168,5391,5336,5245,5425,5669,-,-
Manokwari Selatan,4702,5012,5225,5511,5505,5505,5691,5948,6139,6373
Pegunungan Arfak,4594,4683,4979,5102,5099,5009,5204,5438,5722,6043
Kota Sorong,12858,13141,13484,13815,13954,13744,13874,14133,-,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,8733,9076
Raja Ampat,-,-,-,-,-,-,-,-,8761,9109
Sorong,-,-,-,-,-,-,-,-,8283,8617
Sorong Selatan,-,-,-,-,-,-,-,-,6928,7227
Maybrat,-,-,-,-,-,-,-,-,5824,6074
Tambrauw,-,-,-,-,-,-,-,-,5489,5827
Kota Sorong,-,-,-,-,-,-,-,-,14368,14664
PAPUA,6637,6996,7159,7336,6954,6955,7146,7562,11037,11342
Merauke,10016,10277,10430,10498,10097,10201,10424,10747,-,-
Jayawijaya,7282,7524,7637,7835,7441,7545,7765,8159,-,-
Jayapura,9653,10055,10160,10375,9898,9989,10230,10671,10848,11088
Nabire,8779,8983,9143,9195,8840,8856,9040,9381,-,-
Kepulauan Yapen,7414,7605,7739,7785,7484,7491,7685,8091,8409,8752
Biak Numfor,9647,9812,9969,10211,9705,9607,9788,10229,10600,10823
Paniai,6191,6355,6535,6767,6361,6377,6554,6977,-,-
Puncak Jaya,5089,5341,5459,5523,5282,5289,5422,5731,-,-
Mimika,11169,11591,11700,12035,11431,11400,11647,12076,-,-
Boven Digoel,7770,8048,8211,8300,7947,7864,8086,8396,-,-
Mappi,5951,6143,6268,6513,6353,6327,6550,6821,-,-
Asmat,5601,5771,5882,6066,5733,5736,5860,6057,-,-
Yahukimo,4248,4554,4737,5030,4875,4895,5101,5351,-,-
Pegunungan Bintang,5289,5506,5578,5633,5409,5429,5618,5849,-,-
Tolikara,4711,4827,4946,5142,4826,4841,5079,5397,-,-
Sarmi,6417,6723,6814,6860,6600,6617,6864,7204,7499,7713
Keerom,8671,8824,8918,9136,8910,8926,9153,9545,9967,10109
Waropen,6270,6810,6978,7018,6732,6788,6919,7335,7569,7960
Supiori,5379,5655,5769,5820,5677,5708,5904,6259,6474,6786
Mamberamo Raya,4387,4596,4755,4807,4581,4603,4806,5105,5298,5568
Nduga,3725,3972,4131,4181,3975,3976,4190,4352,-,-
Lanny Jaya,4106,4356,4517,4569,4350,4393,4559,4751,-,-
Mamberamo Tengah,4219,4510,4609,4671,4462,4487,4630,4855,-,-
Yalimo,4435,4702,4799,4860,4647,4664,4802,5015,-,-
Puncak,5181,5413,5506,5702,5378,5412,5583,5975,-,-
Dogiyai,5190,5375,5522,5709,5373,5415,5705,6182,-,-
Intan Jaya,5038,5293,5440,5593,5283,5328,5624,6140,-,-
Deiyai,4383,4597,4761,4958,4632,4673,4808,5104,-,-
Kota Jayapura,14319,14781,14922,15176,14763,14937,15189,15272,15408,15522
PAPUA SELATAN,-,-,-,-,-,-,-,-,9756,9983
Merauke,-,-,-,-,-,-,-,-,11077,11260
Boven Digoel,-,-,-,-,-,-,-,-,8616,8796
Mappi,-,-,-,-,-,-,-,-,7068,7364
Asmat,-,-,-,-,-,-,-,-,6262,6495
PAPUA TENGAH,-,-,-,-,-,-,-,-,7809,8036
Mimika,-,-,-,-,-,-,-,-,12487,12745
Dogiyai,-,-,-,-,-,-,-,-,6755,6856
Deiyai,-,-,-,-,-,-,-,-,5509,5743
Nabire,-,-,-,-,-,-,-,-,9856,10093
Paniai,-,-,-,-,-,-,-,-,7470,7719
Intan Jaya,-,-,-,-,-,-,-,-,6463,6622
Puncak,-,-,-,-,-,-,-,-,6363,6496
Puncak Jaya,-,-,-,-,-,-,-,-,6091,6194
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,5707,5861
Nduga,-,-,-,-,-,-,-,-,4597,4773
Jayawijaya,-,-,-,-,-,-,-,-,8534,8750
Lanny Jaya,-,-,-,-,-,-,-,-,5026,5102
Tolikara,-,-,-,-,-,-,-,-,5653,5802
Mamberamo Tengah,-,-,-,-,-,-,-,-,4943,5119
Yalimo,-,-,-,-,-,-,-,-,5226,5305
Yahukimo,-,-,-,-,-,-,-,-,5747,5997
Pegunungan Bintang,-,-,-,-,-,-,-,-,6196,6300
INDONESIA,10420,10664,11059,11299,11013,11156,11479,11899,12341,12802
