Tahun,Provinsi,APM_SD,APM_SMP,APM_SMA,PSN (Stunting)
2022,Sumatera Selatan,98.08,78.68,61.0,3.1
2022,Sumatera Utara,98.0,81.84,68.27,5.5
2023,Aceh,98.97,84.85,71.7,7.5
2023,Bali,97.77,84.78,75.6,3.2
2023,Banten,97.97,85.43,60.42,4.0
2023,Bengkulu,98.61,81.08,67.09,4.5
2023,Daerah Istimewa Yogyakarta,99.36,85.62,76.37,8.9
2023,Daerah Khusus Jakarta,98.44,84.95,60.81,1.0
2023,Gorontalo,98.69,73.55,60.18,5.2
2023,Jambi,99.33,80.23,60.6,3.7
2023,Jawa Barat,98.2,83.61,59.01,6.3
2023,Jawa Tengah,98.46,81.56,61.46,9.1
2023,Jawa Timur,98.04,83.91,62.59,6.9
2023,Kalimantan Barat,97.7,70.85,54.76,17.5
2023,Kalimantan Selatan,99.14,77.44,59.83,8.7
2023,Kalimantan Tengah,99.05,79.07,55.63,10.1
2023,Kalimantan Timur,98.53,83.36,69.89,10.2
2023,Kalimantan Utara,94.73,80.53,66.7,8.9
2023,Kepulauan Bangka Belitung,98.11,77.0,60.72,3.2
2023,Kepulauan Riau,99.29,86.78,74.11,3.8
2023,Lampung,99.22,80.64,62.84,3.9
2023,Maluku,97.27,78.58,66.16,5.2
2023,Maluku Utara,97.36,78.53,65.75,6.8
2023,Nusa Tenggara Barat,98.76,84.03,68.04,15.8
2023,Nusa Tenggara Timur,95.98,73.47,58.15,17.4
2023,Papua,80.67,60.23,48.32,10.9
2023,Papua Barat,94.52,74.7,65.92,10.9
2023,Papua Barat Daya,93.6,73.27,56.26,7.0
2023,Papua Pegunungan,74.24,54.3,37.42,1.4
2023,Papua Selatan,87.03,55.86,43.03,13.7
2023,Papua Tengah,71.94,52.47,33.14,9.7
2023,Riau,98.13,80.76,64.81,3.0
2023,Sulawesi Barat,95.92,72.39,61.17,23.2
2023,Sulawesi Selatan,98.41,77.98,60.57,8.2
2023,Sulawesi Tengah,93.31,76.8,66.18,11.3
2023,Sulawesi Tenggara,98.48,76.54,64.0,10.3
2023,Sulawesi Utara,95.68,76.56,63.86,2.4
2023,Sumatera Barat,98.89,80.22,69.18,8.8
2023,Sumatera Selatan,98.12,79.12,61.24,1.8
2023,Sumatera Utara,97.95,82.09,68.67,4.5
