Tahun,Provinsi,PPK,RLS
2019,Sumatera Utara,10649.0,9.45
2020,Aceh,9492.0,9.33
2020,Bali,13929.0,8.95
2020,Banten,11964.0,8.89
2020,Bengkulu,10380.0,8.84
2020,Daerah Istimewa Yogyakarta,14015.0,9.55
2020,Daerah Khusus Jakarta,18227.0,11.13
2020,Gorontalo,10020.0,7.82
2020,Jambi,10392.0,8.55
2020,Jawa Barat,10845.0,8.55
2020,Jawa Tengah,10930.0,7.69
2020,Jawa Timur,11601.0,7.78
2020,Kalimantan Barat,8930.0,7.37
2020,Kalimantan Selatan,12032.0,8.29
2020,Kalimantan Tengah,11154.0,8.59
2020,Kalimantan Timur,11728.0,9.77
2020,Kalimantan Utara,8756.0,9.0
2020,Kepulauan Bangka Belitung,12794.0,8.06
2020,Kepulauan Riau,14209.0,10.12
2020,Lampung,9982.0,8.05
2020,Maluku,8732.0,9.93
2020,Maluku Utara,8032.0,9.04
2020,Nusa Tenggara Barat,10351.0,7.31
2020,Nusa Tenggara Timur,7598.0,7.63
2020,Papua,6954.0,6.69
2020,Papua Barat,8086.0,7.6
2020,Papua Barat Daya,7915.0,7.9
2020,Papua Pegunungan,4700.0,3.72
2020,Papua Selatan,8822.0,7.89
2020,Papua Tengah,6875.0,5.63
2020,Riau,10675.0,9.14
2020,Sulawesi Barat,9168.0,7.89
2020,Sulawesi Selatan,11079.0,8.38
2020,Sulawesi Tengah,9335.0,8.83
2020,Sulawesi Tenggara,9331.0,9.04
2020,Sulawesi Utara,10791.0,9.49
2020,Sumatera Barat,10733.0,8.99
2020,Sumatera Selatan,10652.0,8.24
2020,Sumatera Utara,10420.0,9.54
2021,Aceh,9572.0,9.37
2021,Bali,13820.0,9.06
2021,Banten,12033.0,8.93
2021,Bengkulu,10487.0,8.87
2021,Daerah Istimewa Yogyakarta,14111.0,9.64
2021,Daerah Khusus Jakarta,18520.0,11.17
2021,Gorontalo,10157.0,7.9
2021,Jambi,10588.0,8.6
2021,Jawa Barat,10934.0,8.61
2021,Jawa Tengah,11034.0,7.75
2021,Jawa Timur,11707.0,7.88
2021,Kalimantan Barat,8974.0,7.45
2021,Kalimantan Selatan,12143.0,8.34
2021,Kalimantan Tengah,11182.0,8.64
2021,Kalimantan Timur,12116.0,9.84
2021,Kalimantan Utara,9075.0,9.11
2021,Kepulauan Bangka Belitung,12819.0,8.08
2021,Kepulauan Riau,14122.0,10.18
2021,Lampung,10038.0,8.08
2021,Maluku,8770.0,10.03
2021,Maluku Utara,8140.0,9.09
2021,Nusa Tenggara Barat,10377.0,7.38
2021,Nusa Tenggara Timur,7554.0,7.69
2021,Papua,6955.0,6.76
2021,Papua Barat,7929.0,7.69
2021,Papua Barat Daya,8147.0,8.02
2021,Papua Pegunungan,4932.0,3.84
2021,Papua Selatan,9054.0,8.01
2021,Papua Tengah,7107.0,5.75
2021,Riau,10736.0,9.19
