Tahun,Provinsi,APM_SD,APM_SMP,APM_SMA,PPK
2018,Sulawesi Tengah,92.82,73.2,64.25,9488.0
2018,Sulawesi Tenggara,97.51,76.64,62.87,9262.0
2018,Sulawesi Utara,94.93,74.18,62.83,10731.0
2018,Sumatera Barat,98.66,77.08,67.48,10638.0
2018,Sumatera Selatan,97.85,76.91,59.87,10652.0
2018,Sumatera Utara,97.63,79.25,67.27,10391.0
2019,Aceh,99.12,86.48,70.35,9603.0
2019,Bali,96.81,86.75,73.01,14146.0
2019,Banten,97.98,81.93,58.8,12267.0
2019,Bengkulu,98.66,78.81,65.51,10409.0
2019,Daerah Istimewa Yogyakarta,99.53,84.04,70.49,14394.0
2019,Daerah Khusus Jakarta,98.12,81.68,60.24,18527.0
2019,Gorontalo,98.41,70.28,57.52,10075.0
2019,Jambi,99.07,79.48,60.92,10592.0
2019,Jawa Barat,98.27,81.26,57.53,11152.0
2019,Jawa Tengah,97.77,79.84,59.35,11102.0
2019,Jawa Timur,98.01,82.84,61.77,11739.0
2019,Kalimantan Barat,97.09,66.67,51.21,9055.0
2019,Kalimantan Selatan,98.81,74.84,57.82,12253.0
2019,Kalimantan Tengah,99.14,77.71,53.82,11236.0
2019,Kalimantan Timur,98.41,80.42,68.55,12359.0
2019,Kalimantan Utara,93.15,78.42,64.39,9343.0
2019,Kepulauan Bangka Belitung,97.73,74.13,58.41,12959.0
2019,Kepulauan Riau,99.13,85.54,72.97,14466.0
2019,Lampung,99.24,80.4,59.41,10114.0
2019,Maluku,96.21,74.68,64.23,8887.0
2019,Maluku Utara,97.09,76.2,63.95,8308.0
2019,Nusa Tenggara Barat,98.87,83.92,66.04,10640.0
2019,Nusa Tenggara Timur,96.16,69.19,53.68,7769.0
2019,Papua,79.19,57.19,44.32,7336.0
2019,Papua Barat,93.76,69.92,63.15,8125.0
2019,Papua Barat Daya,92.39,69.55,51.35,7682.0
2019,Papua Pegunungan,73.03,50.58,32.51,4467.0
2019,Papua Selatan,85.82,52.14,38.12,8589.0
2019,Papua Tengah,70.73,48.75,28.23,6642.0
2019,Riau,97.32,79.94,63.55,11255.0
2019,Sulawesi Barat,95.86,69.36,57.64,9235.0
2019,Sulawesi Selatan,98.06,75.82,60.14,11118.0
2019,Sulawesi Tengah,93.17,73.82,64.66,9604.0
2019,Sulawesi Tenggara,97.53,76.95,62.92,9436.0
2019,Sulawesi Utara,94.97,74.3,62.98,11115.0
2019,Sumatera Barat,98.67,78.1,68.53,10925.0
2019,Sumatera Selatan,97.91,77.58,59.92,10937.0
2019,Sumatera Utara,97.67,80.26,67.53,10649.0
2020,Aceh,99.03,86.87,70.7,9492.0
2020,Bali,96.84,87.26,73.29,13929.0
2020,Banten,97.95,82.73,59.06,11964.0
2020,Bengkulu,98.65,79.77,65.82,10380.0
2020,Daerah Istimewa Yogyakarta,99.59,83.98,70.98,14015.0
2020,Daerah Khusus Jakarta,98.05,82.47,60.42,18227.0
2020,Gorontalo,98.5,70.68,57.86,10020.0
2020,Jambi,99.11,79.93,61.38,10392.0
2020,Jawa Barat,98.37,82.06,57.9,10845.0
2020,Jawa Tengah,97.9,80.53,59.74,10930.0
2020,Jawa Timur,97.99,83.53,62.24,11601.0
2020,Kalimantan Barat,97.36,67.42,51.7,8930.0
2020,Kalimantan Selatan,98.76,75.51,58.25,12032.0
2020,Kalimantan Tengah,99.11,78.45,54.08,11154.0
2020,Kalimantan Timur,98.44,81.28,69.0,11728.0
2020,Kalimantan Utara,93.46,79.09,64.75,8756.0
2020,Kepulauan Bangka Belitung,97.73,74.59,58.82,12794.0
2020,Kepulauan Riau,99.16,86.47,73.45,14209.0
2020,Lampung,99.16,81.17,59.58,9982.0
2020,Maluku,96.85,75.15,64.81,8732.0
2020,Maluku Utara,97.21,76.9,64.25,8032.0
2020,Nusa Tenggara Barat,98.78,84.98,66.81,10351.0
2020,Nusa Tenggara Timur,96.09,69.82,54.09,7598.0
2020,Papua,79.34,57.95,44.73,6954.0
2020,Papua Barat,93.88,70.51,63.62,8086.0
2020,Papua Barat Daya,92.69,70.48,52.58,7915.0
2020,Papua Pegunungan,73.33,51.51,33.74,4700.0
2020,Papua Selatan,86.12,53.07,39.35,8822.0
2020,Papua Tengah,71.03,49.68,29.46,6875.0
2020,Riau,97.73,80.48,64.01,10675.0
2020,Sulawesi Barat,95.8,69.98,58.05,9168.0
2020,Sulawesi Selatan,97.98,76.17,60.32,11079.0
2020,Sulawesi Tengah,93.24,74.42,65.02,9335.0
2020,Sulawesi Tenggara,97.7,77.64,63.41,9331.0
2020,Sulawesi Utara,95.13,74.82,63.43,10791.0
2020,Sumatera Barat,98.8,78.41,68.9,10733.0
2020,Sumatera Selatan,97.91,77.97,60.45,10652.0
2020,Sumatera Utara,97.73,80.56,68.0,10420.0
2021,Aceh,98.95,86.95,70.8,9572.0
2021,Bali,97.2,87.11,74.82,13820.0
2021,Banten,98.15,84.28,59.69,12033.0
2021,Bengkulu,98.61,80.25,66.08,10487.0
2021,Daerah Istimewa Yogyakarta,99.44,83.62,71.42,14111.0
2021,Daerah Khusus Jakarta,98.22,83.01,60.53,18520.0
2021,Gorontalo,98.65,71.15,58.21,10157.0
2021,Jambi,99.41,79.88,61.56,10588.0
2021,Jawa Barat,98.37,82.88,58.58,10934.0
2021,Jawa Tengah,98.22,80.99,60.46,11034.0
2021,Jawa Timur,97.9,83.8,62.63,11707.0
2021,Kalimantan Barat,97.42,68.11,51.77,8974.0
2021,Kalimantan Selatan,98.94,75.88,58.37,12143.0
2021,Kalimantan Tengah,99.01,78.8,54.25,11182.0
2021,Kalimantan Timur,98.36,81.3,69.29,12116.0
2021,Kalimantan Utara,93.38,79.21,65.37,9075.0
2021,Kepulauan Bangka Belitung,97.89,74.6,58.79,12819.0
2021,Kepulauan Riau,99.26,86.6,73.36,14122.0
2021,Lampung,99.1,82.03,60.31,10038.0
2021,Maluku,96.92,75.53,64.71,8770.0
2021,Maluku Utara,97.2,77.03,64.11,8140.0
2021,Nusa Tenggara Barat,98.81,85.28,67.09,10377.0
2021,Nusa Tenggara Timur,96.04,69.99,54.29,7554.0
2021,Papua,80.38,57.93,44.41,6955.0
2021,Papua Barat,94.09,70.52,63.51,7929.0
2021,Papua Barat Daya,93.0,71.41,53.81,8147.0
2021,Papua Pegunungan,73.64,52.44,34.97,4932.0
2021,Papua Selatan,86.43,54.0,40.58,9054.0
2021,Papua Tengah,71.34,50.61,30.69,7107.0
2021,Riau,97.85,80.52,64.0,10736.0
2021,Sulawesi Barat,95.68,70.03,59.77,9153.0
2021,Sulawesi Selatan,98.26,77.02,60.35,11184.0
2021,Sulawesi Tengah,93.33,74.99,65.44,9378.0
2021,Sulawesi Tenggara,98.15,77.86,63.7,9381.0
2021,Sulawesi Utara,95.39,74.94,63.33,10882.0
2021,Sumatera Barat,98.82,78.75,68.99,10790.0
2021,Sumatera Selatan,98.0,78.31,60.53,10662.0
2021,Sumatera Utara,97.69,81.13,67.99,10499.0
2022,Aceh,99.07,88.21,71.16,9963.0
2022,Bali,97.46,86.88,74.73,13942.0
2022,Banten,97.93,84.67,59.54,12216.0
2022,Bengkulu,98.6,80.25,66.61,10840.0
2022,Daerah Istimewa Yogyakarta,99.43,85.28,74.5,14482.0
2022,Daerah Khusus Jakarta,98.37,84.22,60.88,18927.0
2022,Gorontalo,98.74,71.66,58.47,10687.0
2022,Jambi,99.33,79.93,60.73,10871.0
2022,Jawa Barat,98.29,82.8,58.6,11277.0
2022,Jawa Tengah,98.39,81.02,61.17,11377.0
2022,Jawa Timur,98.09,83.8,62.1,11992.0
2022,Kalimantan Barat,97.52,68.32,51.87,9355.0
2022,Kalimantan Selatan,99.12,76.28,59.61,12469.0
2022,Kalimantan Tengah,99.11,78.75,55.69,11458.0
2022,Kalimantan Timur,98.45,82.65,69.1,12641.0
2022,Kalimantan Utara,93.69,79.38,65.65,9350.0
2022,Kepulauan Bangka Belitung,98.01,74.68,59.65,13358.0
2022,Kepulauan Riau,99.2,86.76,73.54,14469.0
2022,Lampung,99.29,82.07,61.96,10336.0
2022,Maluku,96.9,78.37,64.57,8876.0
2022,Maluku Utara,97.27,77.41,65.35,8398.0
2022,Nusa Tenggara Barat,98.83,86.05,67.61,10681.0
2022,Nusa Tenggara Timur,96.08,70.05,56.0,7877.0
2022,Papua,81.66,59.14,47.63,7146.0
2022,Papua Barat,94.31,71.38,63.66,8101.0
2022,Papua Barat Daya,93.3,72.34,55.03,8379.0
2022,Papua Pegunungan,73.94,53.37,36.19,5164.0
2022,Papua Selatan,86.73,54.93,41.8,9286.0
2022,Papua Tengah,71.64,51.54,31.91,7339.0
2022,Riau,97.8,80.43,63.87,11158.0
2022,Sulawesi Barat,95.81,70.34,60.24,9358.0
2022,Sulawesi Selatan,98.41,77.42,60.44,11430.0
2022,Sulawesi Tengah,93.25,75.63,65.72,9696.0
2022,Sulawesi Tenggara,98.27,77.77,64.11,9708.0
2022,Sulawesi Utara,95.44,76.11,63.3,11179.0
2022,Sumatera Barat,98.8,78.86,68.38,11130.0
2022,Sumatera Selatan,98.08,78.68,61.0,11109.0
2022,Sumatera Utara,98.0,81.84,68.27,10848.0
2023,Aceh,98.97,84.85,71.7,10334.0
2023,Bali,97.77,84.78,75.6,14382.0
2023,Banten,97.97,85.43,60.42,12601.0
2023,Bengkulu,98.61,81.08,67.09,11172.0
2023,Daerah Istimewa Yogyakarta,99.36,85.62,76.37,14924.0
2023,Daerah Khusus Jakarta,98.44,84.95,60.81,19373.0
2023,Gorontalo,98.69,73.55,60.18,11069.0
2023,Jambi,99.33,80.23,60.6,11160.0
2023,Jawa Barat,98.2,83.61,59.01,11695.0
2023,Jawa Tengah,98.46,81.56,61.46,11835.0
2023,Jawa Timur,98.04,83.91,62.59,12421.0
2023,Kalimantan Barat,97.7,70.85,54.76,9810.0
2023,Kalimantan Selatan,99.14,77.44,59.83,12953.0
2023,Kalimantan Tengah,99.05,79.07,55.63,11878.0
2023,Kalimantan Timur,98.53,83.36,69.89,13202.0
2023,Kalimantan Utara,94.73,80.53,66.7,9734.0
2023,Kepulauan Bangka Belitung,98.11,77.0,60.72,13589.0
2023,Kepulauan Riau,99.29,86.78,74.11,14998.0
2023,Lampung,99.22,80.64,62.84,10769.0
2023,Maluku,97.27,78.58,66.16,9278.0
2023,Maluku Utara,97.36,78.53,65.75,8834.0
2023,Nusa Tenggara Barat,98.76,84.03,68.04,11095.0
2023,Nusa Tenggara Timur,95.98,73.47,58.15,8248.0
2023,Papua,80.67,60.23,48.32,7562.0
2023,Papua Barat,94.52,74.7,65.92,8404.0
2023,Papua Barat Daya,93.6,73.27,56.26,8611.0
2023,Papua Pegunungan,74.24,54.3,37.42,5396.0
2023,Papua Selatan,87.03,55.86,43.03,9518.0
2023,Papua Tengah,71.94,52.47,33.14,7571.0
2023,Riau,98.13,80.76,64.81,11448.0
2023,Sulawesi Barat,95.92,72.39,61.17,9718.0
2023,Sulawesi Selatan,98.41,77.98,60.57,11841.0
2023,Sulawesi Tengah,93.31,76.8,66.18,10149.0
2023,Sulawesi Tenggara,98.48,76.54,64.0,10117.0
2023,Sulawesi Utara,95.68,76.56,63.86,11497.0
2023,Sumatera Barat,98.89,80.22,69.18,11380.0
2023,Sumatera Selatan,98.12,79.12,61.24,11472.0
2023,Sumatera Utara,97.95,82.09,68.67,11049.0
2024,Aceh,97.96,84.22,70.94,10811.0
2024,Bali,98.7,86.3,74.19,14920.0
2024,Banten,98.09,83.68,63.5,13097.0
2024,Bengkulu,98.33,82.36,69.14,11733.0
2024,Daerah Istimewa Yogyakarta,99.43,90.14,77.86,15361.0
2024,Daerah Khusus Jakarta,98.39,88.67,64.85,19953.0
2024,Gorontalo,98.2,72.51,61.23,11539.0
2024,Jambi,98.17,79.65,62.48,11621.0
2024,Jawa Barat,98.53,84.61,60.68,12157.0
2024,Jawa Tengah,98.39,81.03,62.56,12276.0
2024,Jawa Timur,98.81,84.52,64.77,12852.0
2024,Kalimantan Barat,98.6,72.9,57.18,10321.0
2024,Kalimantan Selatan,98.68,78.14,60.26,13399.0
2024,Kalimantan Tengah,98.35,80.49,58.05,12303.0
2024,Kalimantan Timur,98.59,83.7,72.37,13793.0
2024,Kalimantan Utara,95.18,81.61,67.9,10197.0
2024,Kepulauan Bangka Belitung,98.29,77.59,61.71,13667.0
2024,Kepulauan Riau,98.71,87.1,77.54,15573.0
2024,Lampung,98.33,81.4,64.54,11258.0
2024,Maluku,97.27,79.72,69.61,9684.0
2024,Maluku Utara,96.41,79.34,68.02,9320.0
2024,Nusa Tenggara Barat,98.57,83.55,71.09,11606.0
2024,Nusa Tenggara Timur,97.01,73.72,60.73,8534.0
2024,Papua,92.52,75.41,61.33,11037.0
2024,Papua Barat,95.15,72.1,61.18,8805.0
2024,Papua Barat Daya,95.39,72.31,68.52,8733.0
2024,Papua Pegunungan,75.4,58.83,45.6,5707.0
2024,Papua Selatan,85.86,52.03,44.79,9756.0
2024,Papua Tengah,69.03,57.49,36.84,7809.0
2024,Riau,98.45,81.14,68.04,11857.0
2024,Sulawesi Barat,96.82,71.77,62.1,10208.0
2024,Sulawesi Selatan,97.81,76.84,62.71,12275.0
2024,Sulawesi Tengah,94.84,77.55,65.62,10536.0
2024,Sulawesi Tenggara,97.33,77.12,66.66,10606.0
2024,Sulawesi Utara,95.87,77.27,65.47,11998.0
2024,Sumatera Barat,98.89,82.94,72.5,11718.0
2024,Sumatera Selatan,97.53,77.58,62.7,12015.0
2024,Sumatera Utara,97.68,82.15,69.72,11460.0
2025,Aceh,96.32,81.37,70.36,11191.0
2025,Bali,97.05,84.81,76.06,15383.0
2025,Banten,97.09,81.28,65.28,13498.0
2025,Bengkulu,96.12,78.83,69.32,12197.0
2025,Daerah Istimewa Yogyakarta,98.77,88.67,78.42,15855.0
2025,Daerah Khusus Jakarta,98.47,87.55,69.9,20676.0
2025,Gorontalo,95.75,72.95,64.63,11937.0
2025,Jambi,97.02,78.47,63.05,12018.0
2025,Jawa Barat,98.02,83.84,67.33,12447.0
2025,Jawa Tengah,97.21,80.29,67.81,12746.0
2025,Jawa Timur,98.22,84.49,70.64,13509.0
2025,Kalimantan Barat,95.65,72.48,57.6,10689.0
2025,Kalimantan Selatan,97.79,78.54,59.77,13757.0
2025,Kalimantan Tengah,97.55,78.91,63.31,12612.0
2025,Kalimantan Timur,97.68,82.01,73.96,14254.0
2025,Kalimantan Utara,97.05,81.49,73.13,10568.0
2025,Kepulauan Bangka Belitung,97.0,74.06,65.94,13837.0
2025,Kepulauan Riau,98.2,83.55,76.54,15881.0
2025,Lampung,97.64,78.47,67.22,11683.0
2025,Maluku,95.29,77.02,66.29,9900.0
2025,Maluku Utara,95.9,78.65,62.32,9613.0
2025,Nusa Tenggara Barat,97.62,82.54,70.43,11922.0
2025,Nusa Tenggara Timur,95.45,77.28,62.88,8735.0
2025,Papua,91.81,77.95,56.13,11342.0
2025,Papua Barat,94.0,72.24,57.63,9115.0
2025,Papua Barat Daya,94.21,75.13,58.71,9076.0
2025,Papua Pegunungan,74.85,56.16,39.87,5861.0
2025,Papua Selatan,87.64,57.72,45.48,9983.0
2025,Papua Tengah,72.55,54.33,35.59,8036.0
2025,Riau,97.54,81.4,65.22,12233.0
2025,Sulawesi Barat,95.99,75.49,60.89,10516.0
2025,Sulawesi Selatan,96.46,78.45,68.1,12773.0
2025,Sulawesi Tengah,94.67,78.28,68.68,10934.0
2025,Sulawesi Tenggara,95.89,74.78,63.31,10992.0
2025,Sulawesi Utara,96.0,75.05,61.26,12450.0
2025,Sumatera Barat,97.06,82.7,71.57,12041.0
2025,Sumatera Selatan,95.98,74.27,63.08,12416.0
2025,Sumatera Utara,95.99,77.41,70.4,11898.0
