Tahun,Provinsi,APM_SD,APM_SMP,APM_SMA,RLS
2022,Sumatera Barat,98.8,78.86,68.38,9.18
2022,Sumatera Selatan,98.08,78.68,61.0,8.37
2022,Sumatera Utara,98.0,81.84,68.27,9.71
2023,Aceh,98.97,84.85,71.7,9.55
2023,Bali,97.77,84.78,75.6,9.45
2023,Banten,97.97,85.43,60.42,9.15
2023,Bengkulu,98.61,81.08,67.09,9.03
2023,Daerah Istimewa Yogyakarta,99.36,85.62,76.37,9.83
2023,Daerah Khusus Jakarta,98.44,84.95,60.81,11.45
2023,Gorontalo,98.69,73.55,60.18,8.1
2023,Jambi,99.33,80.23,60.6,8.81
2023,Jawa Barat,98.2,83.61,59.01,8.83
2023,Jawa Tengah,98.46,81.56,61.46,8.01
2023,Jawa Timur,98.04,83.91,62.59,8.11
2023,Kalimantan Barat,97.7,70.85,54.76,7.71
2023,Kalimantan Selatan,99.14,77.44,59.83,8.55
2023,Kalimantan Tengah,99.05,79.07,55.63,8.73
2023,Kalimantan Timur,98.53,83.36,69.89,9.99
2023,Kalimantan Utara,94.73,80.53,66.7,9.34
2023,Kepulauan Bangka Belitung,98.11,77.0,60.72,8.25
2023,Kepulauan Riau,99.29,86.78,74.11,10.41
2023,Lampung,99.22,80.64,62.84,8.29
2023,Maluku,97.27,78.58,66.16,10.2
2023,Maluku Utara,97.36,78.53,65.75,9.26
2023,Nusa Tenggara Barat,98.76,84.03,68.04,7.74
2023,Nusa Tenggara Timur,95.98,73.47,58.15,7.82
2023,Papua,80.67,60.23,48.32,7.15
2023,Papua Barat,94.52,74.7,65.92,7.93
2023,Papua Barat Daya,93.6,73.27,56.26,8.27
2023,Papua Pegunungan,74.24,54.3,37.42,4.09
2023,Papua Selatan,87.03,55.86,43.03,8.26
2023,Papua Tengah,71.94,52.47,33.14,6.0
2023,Riau,98.13,80.76,64.81,9.32
2023,Sulawesi Barat,95.92,72.39,61.17,8.13
2023,Sulawesi Selatan,98.41,77.98,60.57,8.76
2023,Sulawesi Tengah,93.31,76.8,66.18,8.96
2023,Sulawesi Tenggara,98.48,76.54,64.0,9.31
2023,Sulawesi Utara,95.68,76.56,63.86,9.77
2023,Sumatera Barat,98.89,80.22,69.18,9.28
2023,Sumatera Selatan,98.12,79.12,61.24,8.5
2023,Sumatera Utara,97.95,82.09,68.67,9.82
2024,Aceh,97.96,84.22,70.94,9.64
2024,Bali,98.7,86.3,74.19,9.54
2024,Banten,98.09,83.68,63.5,9.23
2024,Bengkulu,98.33,82.36,69.14,9.04
2024,Daerah Istimewa Yogyakarta,99.43,90.14,77.86,9.92
2024,Daerah Khusus Jakarta,98.39,88.67,64.85,11.49
2024,Gorontalo,98.2,72.51,61.23,8.29
2024,Jambi,98.17,79.65,62.48,8.9
2024,Jawa Barat,98.53,84.61,60.68,8.87
2024,Jawa Tengah,98.39,81.03,62.56,8.02
2024,Jawa Timur,98.81,84.52,64.77,8.28
2024,Kalimantan Barat,98.6,72.9,57.18,7.78
2024,Kalimantan Selatan,98.68,78.14,60.26,8.62
2024,Kalimantan Tengah,98.35,80.49,58.05,8.81
2024,Kalimantan Timur,98.59,83.7,72.37,10.02
2024,Kalimantan Utara,95.18,81.61,67.9,9.35
2024,Kepulauan Bangka Belitung,98.29,77.59,61.71,8.33
2024,Kepulauan Riau,98.71,87.1,77.54,10.5
2024,Lampung,98.33,81.4,64.54,8.36
2024,Maluku,97.27,79.72,69.61,10.26
2024,Maluku Utara,96.41,79.34,68.02,9.37
2024,Nusa Tenggara Barat,98.57,83.55,71.09,7.87
2024,Nusa Tenggara Timur,97.01,73.72,60.73,8.02
2024,Papua,92.52,75.41,61.33,9.82
2024,Papua Barat,95.15,72.1,61.18,7.86
2024,Papua Barat Daya,95.39,72.31,68.52,8.39
2024,Papua Pegunungan,75.4,58.83,45.6,4.21
2024,Papua Selatan,85.86,52.03,44.79,8.38
2024,Papua Tengah,69.03,57.49,36.84,6.12
2024,Riau,98.45,81.14,68.04,9.43
2024,Sulawesi Barat,96.82,71.77,62.1,8.15
2024,Sulawesi Selatan,97.81,76.84,62.71,8.86
2024,Sulawesi Tengah,94.84,77.55,65.62,9.04
2024,Sulawesi Tenggara,97.33,77.12,66.66,9.42
2024,Sulawesi Utara,95.87,77.27,65.47,9.84
2024,Sumatera Barat,98.89,82.94,72.5,9.44
2024,Sumatera Selatan,97.53,77.58,62.7,8.57
2024,Sumatera Utara,97.68,82.15,69.72,9.93
