Tahun,Provinsi,APM_SD,APM_SMP,APM_SMA,PPK,RLS
2018,Maluku,95.8,74.08,63.68,8721.0,9.58
2018,Maluku Utara,97.09,76.31,63.88,7980.0,8.72
2018,Nusa Tenggara Barat,98.86,83.88,65.77,10284.0,7.03
2018,Nusa Tenggara Timur,96.12,68.14,53.67,7566.0,7.3
2018,Papua,79.14,57.09,44.31,7159.0,6.52
2018,Papua Barat,93.66,69.11,63.11,7816.0,7.27
2018,Papua Barat Daya,92.08,68.62,50.13,7450.0,7.65
2018,Papua Pegunungan,72.72,49.65,31.29,4235.0,3.47
2018,Papua Selatan,85.51,51.21,36.9,8357.0,7.64
2018,Papua Tengah,70.42,47.82,27.01,6410.0,5.38
2018,Riau,97.26,79.12,63.47,10968.0,8.92
2018,Sulawesi Barat,95.83,69.43,57.58,9051.0,7.5
2018,Sulawesi Selatan,98.03,75.13,60.03,10814.0,8.02
2018,Sulawesi Tengah,92.82,73.2,64.25,9488.0,8.52
2018,Sulawesi Tenggara,97.51,76.64,62.87,9262.0,8.69
2018,Sulawesi Utara,94.93,74.18,62.83,10731.0,9.24
2018,Sumatera Barat,98.66,77.08,67.48,10638.0,8.76
2018,Sumatera Selatan,97.85,76.91,59.87,10652.0,8.0
2018,Sumatera Utara,97.63,79.25,67.27,10391.0,9.34
2019,Aceh,99.12,86.48,70.35,9603.0,9.18
2019,Bali,96.81,86.75,73.01,14146.0,8.84
2019,Banten,97.98,81.93,58.8,12267.0,8.74
2019,Bengkulu,98.66,78.81,65.51,10409.0,8.73
2019,Daerah Istimewa Yogyakarta,99.53,84.04,70.49,14394.0,9.38
2019,Daerah Khusus Jakarta,98.12,81.68,60.24,18527.0,11.06
2019,Gorontalo,98.41,70.28,57.52,10075.0,7.69
2019,Jambi,99.07,79.48,60.92,10592.0,8.45
2019,Jawa Barat,98.27,81.26,57.53,11152.0,8.37
2019,Jawa Tengah,97.77,79.84,59.35,11102.0,7.53
2019,Jawa Timur,98.01,82.84,61.77,11739.0,7.59
2019,Kalimantan Barat,97.09,66.67,51.21,9055.0,7.31
2019,Kalimantan Selatan,98.81,74.84,57.82,12253.0,8.2
2019,Kalimantan Tengah,99.14,77.71,53.82,11236.0,8.51
2019,Kalimantan Timur,98.41,80.42,68.55,12359.0,9.7
2019,Kalimantan Utara,93.15,78.42,64.39,9343.0,8.94
2019,Kepulauan Bangka Belitung,97.73,74.13,58.41,12959.0,7.98
2019,Kepulauan Riau,99.13,85.54,72.97,14466.0,9.99
2019,Lampung,99.24,80.4,59.41,10114.0,7.92
2019,Maluku,96.21,74.68,64.23,8887.0,9.81
2019,Maluku Utara,97.09,76.2,63.95,8308.0,9.0
2019,Nusa Tenggara Barat,98.87,83.92,66.04,10640.0,7.27
2019,Nusa Tenggara Timur,96.16,69.19,53.68,7769.0,7.55
2019,Papua,79.19,57.19,44.32,7336.0,6.65
2019,Papua Barat,93.76,69.92,63.15,8125.0,7.44
2019,Papua Barat Daya,92.39,69.55,51.35,7682.0,7.77
